# Países;Fecha;Super 95;Super 95 (Sin imp.);Diesel;Diesel (Sin imp.);Diesel Cal.;Diesel Cal. (Sin imp.)
España;18/10/2021;1,484€;0,754€;1,358€;0,743€;0,842€;0,599€
España;11/10/2021;1,467€;0,739€;1,335€;0,725€;0,826€;0,586€
España;04/10/2021;1,448€;0,724€;1,309€;0,703€;0,792€;0,558€
España;27/09/2021;1,437€;0,715€;1,291€;0,688€;0,771€;0,540€
España;20/09/2021;1,437€;0,715€;1,280€;0,679€;0,758€;0,530€
España;13/09/2021;1,429€;0,708€;1,271€;0,671€;0,744€;0,518€
España;06/09/2021;1,421€;0,702€;1,266€;0,667€;0,741€;0,516€
España;30/08/2021;1,414€;0,696€;1,259€;0,661€;0,723€;0,501€
España;23/08/2021;1,415€;0,697€;1,260€;0,663€;0,725€;0,502€
España;16/08/2021;1,418€;0,699€;1,266€;0,667€;0,738€;0,513€
España;09/08/2021;1,420€;0,701€;1,270€;0,671€;0,755€;0,527€
España;02/08/2021;1,416€;0,698€;1,270€;0,670€;0,748€;0,521€
España;26/07/2021;1,408€;0,691€;1,264€;0,665€;0,726€;0,503€
España;19/07/2021;1,409€;0,692€;1,268€;0,669€;0,740€;0,515€
España;12/07/2021;1,401€;0,685€;1,263€;0,664€;0,738€;0,513€
España;05/07/2021;1,391€;0,677€;1,254€;0,657€;0,739€;0,514€
España;28/06/2021;1,383€;0,670€;1,247€;0,651€;0,731€;0,508€
España;21/06/2021;1,374€;0,663€;1,238€;0,644€;0,725€;0,502€
España;14/06/2021;1,367€;0,657€;1,232€;0,639€;0,709€;0,489€
España;07/06/2021;1,359€;0,650€;1,221€;0,630€;0,694€;0,477€
España;31/05/2021;1,351€;0,644€;1,212€;0,623€;0,687€;0,471€
España;24/05/2021;1,351€;0,644€;1,211€;0,622€;0,691€;0,474€
España;17/05/2021;1,351€;0,644€;1,208€;0,619€;0,696€;0,479€
España;10/05/2021;1,344€;0,638€;1,200€;0,613€;0,686€;0,471€
España;03/05/2021;1,332€;0,628€;1,188€;0,603€;0,673€;0,459€
España;26/04/2021;1,326€;0,624€;1,183€;0,599€;0,673€;0,459€
España;19/04/2021;1,320€;0,618€;1,180€;0,596€;0,672€;0,459€
España;12/04/2021;1,315€;0,614€;1,179€;0,595€;0,667€;0,455€
España;29/03/2021;1,317€;0,616€;1,184€;0,600€;0,669€;0,456€
España;22/03/2021;1,321€;0,619€;1,193€;0,607€;0,684€;0,469€
España;15/03/2021;1,311€;0,611€;1,173€;0,591€;0,689€;0,473€
España;08/03/2021;1,294€;0,596€;1,173€;0,591€;0,675€;0,461€
España;01/03/2021;1,283€;0,587€;1,165€;0,584€;0,671€;0,458€
España;22/02/2021;1,268€;0,575€;1,151€;0,572€;0,652€;0,442€
España;15/02/2021;1,252€;0,562€;1,134€;0,558€;0,645€;0,436€
España;08/02/2021;1,238€;0,551€;1,119€;0,546€;0,627€;0,421€
España;01/02/2021;1,227€;0,541€;1,108€;0,537€;0,614€;0,411€
España;25/01/2021;1,225€;0,539€;1,107€;0,536€;0,622€;0,418€
España;18/01/2021;1,216€;0,532€;1,099€;0,529€;0,607€;0,405€
España;11/01/2021;1,200€;0,519€;1,085€;0,518€;0,593€;0,393€
España;19/12/2005;0,980€;0,442€;0,918€;0,491€;0,575€;0,409€
España;12/12/2005;0,977€;0,440€;0,917€;0,491€;0,565€;0,401€
España;05/12/2005;0,958€;0,423€;0,897€;0,474€;0,574€;0,408€
España;28/11/2005;0,960€;0,425€;0,908€;0,482€;0,576€;0,411€
España;21/11/2005;0,981€;0,443€;0,929€;0,500€;0,594€;0,428€
España;14/11/2005;0,992€;0,453€;0,946€;0,515€;0,602€;0,442€
España;07/11/2005;1,005€;0,464€;0,962€;0,529€;0,628€;0,456€
España;24/10/2005;1,034€;0,488€;0,974€;0,539€;0,645€;0,471€
España;17/10/2005;1,051€;0,503€;0,974€;0,540€;0,657€;0,482€
España;10/10/2005;1,064€;0,515€;0,974€;0,540€;0,649€;0,474€
España;03/10/2005;1,064€;0,515€;0,974€;0,539€;0,649€;0,474€
España;26/09/2005;1,074€;0,523€;0,974€;0,540€;0,629€;0,458€
España;19/09/2005;1,073€;0,522€;0,974€;0,539€;0,640€;0,467€
España;12/09/2005;1,093€;0,539€;0,975€;0,541€;0,613€;0,462€
España;05/09/2005;1,099€;0,545€;0,981€;0,546€;0,629€;0,457€
España;29/08/2005;1,045€;0,498€;0,962€;0,529€;0,623€;0,451€
España;22/08/2005;1,034€;0,489€;0,951€;0,519€;0,605€;0,437€
España;15/08/2005;1,016€;0,473€;0,929€;0,501€;0,548€;0,417€
España;08/08/2005;1,016€;0,473€;0,929€;0,501€;0,548€;0,417€
España;01/08/2005;1,009€;0,467€;0,930€;0,501€;0,585€;0,419€
España;25/07/2005;0,999€;0,459€;0,931€;0,503€;0,596€;0,428€
España;18/07/2005;1,000€;0,459€;0,935€;0,506€;0,600€;0,432€
España;11/07/2005;0,996€;0,456€;0,936€;0,507€;0,567€;0,418€
España;04/07/2005;0,981€;0,443€;0,923€;0,496€;0,581€;0,416€
España;27/06/2005;0,982€;0,443€;0,916€;0,490€;0,579€;0,414€
España;20/06/2005;0,965€;0,429€;0,909€;0,484€;0,565€;0,401€
España;13/06/2005;0,946€;0,413€;0,889€;0,466€;0,511€;0,367€
España;06/06/2005;0,931€;0,399€;0,869€;0,449€;0,512€;0,356€
España;30/05/2005;0,927€;0,396€;0,860€;0,442€;0,498€;0,344€
España;23/05/2005;0,930€;0,399€;0,859€;0,441€;0,506€;0,351€
España;16/05/2005;0,929€;0,398€;0,859€;0,441€;0,510€;0,355€
España;09/05/2005;0,935€;0,403€;0,870€;0,450€;0,487€;0,335€
